Category Code,Category Name (EN),Category Name (TC),Category Name (SC),Category Display,Category Sequence,Facility Code,Facility Name (EN),Facility Name (TC),Facility Name (SC),Display Flag,Non-Fee Flag,Sequence,Group Code
ARCH,Archery,箭藝,箭艺,True,1,ARH,Archery,箭藝,箭艺,True,False,1,ARCH
BAGM,Ball Games,球類運動,球类运动,True,2,AMPL,American Pool,美式桌球,美式桌球,True,False,1,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,NFBVOLC,Beach Volleyball (Non-fee),沙灘排球 (不收費),沙滩排球 (不收费),True,True,1,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,FHSP,FHSP,五人硬地足球,五人硬地足球,False,False,1,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,SPG,Sportsground,運動場,运动场,False,False,1,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,BADC,Badminton,羽毛球,羽毛球,True,False,2,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,BVOLC,BVOLC,沙灘排球場,沙滩排球场,False,False,2,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,NFRHOC,Roller Hockey (Non-fee),滾軸曲棍球 (不收費),滚轴曲棍球 (不收费),True,True,2,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,SHSP,SHSP,七人硬地足球,七人硬地足球,False,False,2,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,NFARH,Archery (Non-fee),箭藝 (不收費),箭艺 (不收费),True,True,3,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,BBP,Baseball,棒球,棒球,True,False,3,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,DEC1,Dodgebee,躲避盤,躲避盘,True,False,3,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,RHOC,RHOC,滾軸曲棍球場,滚轴曲棍球场,False,False,3,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,BASC,Basketball,籃球,篮球,True,False,4,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,NFFOTP,Football (Non-fee),足球 (不收費),足球 (不收费),True,True,4,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,NFBADC,Badminton (Non-fee),羽毛球 (不收費),羽毛球 (不收费),True,True,5,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,BBC,Batting Cage,棒球練習場,棒球练习场,True,False,5,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,PBC,Outdoor Pickleball (Non-fee),戶外匹克球  (不收費),户外匹克球  (不收费),True,True,5,BAGM
BAGM,Ball Games,球類運動,球类运动,True,2,NFBASC,Basketball (Non-fee),籃球 (不收費),篮球 (不收费),True,True,6,BAGM
